id,LoanNr_ChkDgt,Name,City,State,Bank,BankState,ApprovalDate,ApprovalFY,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,Accept
9f1c68ba11d,4659663005,"STATION, INC.",UNIONTOWN,OH,"FIRSTMERIT BANK, N.A.",OH,18-Dec-91,1992,60,1.0,0,0,1,0,N,N,31-Jan-92,"$840,000.00 ",$0.00 ,1
b57a638efd9,1939535005,GORMAN-LAVELLE CORPORATION,CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,26-Jul-06,2006,50,1.0,0,50,0,1,Y,N,31-Aug-06,"$75,000.00 ",$0.00 ,1
18719ff7bbc,2940544003,WEILANDS FINE MEATS INC,COLUMBUS,OH,"WACHOVIA SBA LENDING, INC.",CA,13-May-99,1999,18,1.0,8,18,1,0,0,N,30-Jun-99,"$360,000.00 ",$0.00 ,1
51eabcba2a4,1427324001,"SLUGSTER BROTHERS, INC.",SCIO,OH,THE CITIZENS SAVINGS BANK,OH,21-Jul-97,1997,2,1.0,0,0,1,0,N,Y,30-Sep-97,"$45,000.00 ",$0.00 ,0
f00db720a5b,4954724009,"A COFFEE AFFAIR, LLC",WEST CHESTER,OH,ACCESS BUS. DEVEL & FINANCE IN,OH,28-Sep-01,2001,2,2.0,2,0,1,1,N,N,11-Sep-02,"$60,000.00 ",$0.00 ,1
308a090f6e8,4145603001,"FALLS FOOD, INC.",NEWTON FALLS,OH,KEYBANK NATIONAL ASSOCIATION,OH,21-Jun-90,1990,16,1.0,0,0,1,0,N,N,31-Jul-90,"$380,000.00 ",$0.00 ,1
4930dee0177,4480213010,"T. J. ELLIS ENTERPRISES, INC.",LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,6-Jun-91,1991,4,1.0,0,0,1,0,N,N,31-Jul-93,"$750,000.00 ",$0.00 ,1
aa3824bf129,3397305010,Galaxy Pizza Inc,Cambridge,OH,THE HUNTINGTON NATIONAL BANK,OH,28-Apr-09,2009,17,2.0,0,17,0,2,N,N,30-Apr-09,"$15,000.00 ",$0.00 ,1
e08d49234b3,4368554003,"STERLING INVESTMENTS, INC.",HARRISON,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,13-Mar-01,2001,8,1.0,0,0,1,1,0,Y,31-Jul-01,"$107,850.00 ",$0.00 ,1
0a9a0265ed5,1103085001,"J C GOURMET FOODS, LTD D/B/A C",COLUMBUS,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,12-Nov-04,2005,25,1.0,0,0,1,1,N,N,31-Dec-04,"$184,500.00 ",$0.00 ,1
1a96bbd0f47,4646175004,Clearview Doors and Windows In,Diamond,OH,THE HUNTINGTON NATIONAL BANK,OH,19-Apr-11,2011,1,1.0,0,1,0,1,N,N,19-Apr-11,"$6,200.00 ",$0.00 ,1
2aabec625e4,3585735007,D&M Murray Inc.,Westerville,OH,THE HUNTINGTON NATIONAL BANK,OH,20-Aug-09,2009,14,2.0,0,14,0,1,N,N,30-Sep-09,"$1,783,000.00 ",$0.00 ,1
e52d120e639,1511445001,"David's Floral, Inc.",ALLIANCE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,24-Oct-05,2006,0,2.0,6,0,0,1,T,N,30-Nov-05,"$143,317.00 ",$0.00 ,1
f998fb20f40,6483594009,EMBROIDME,BROADVIEW HEIGHTS,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,10-Jul-03,2003,2,2.0,2,2,27765,1,0,N,31-Aug-03,"$35,000.00 ",$0.00 ,1
7aa8ae1ae97,1179605009,"M. MARK LEPORE, D.D.S., INC.",CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,2-Feb-05,2005,4,1.0,0,4,1,1,Y,N,28-Feb-06,"$10,000.00 ",$0.00 ,1
8ca9d4f3b56,9636294008,"SPIRIT MIND AND BODY, LLC",LISBON,OH,THE HUNTINGTON NATIONAL BANK,OH,10-Jan-06,2006,1,2.0,0,0,1,2,N,N,30-Apr-06,"$105,000.00 ",$0.00 ,1
830c939a3a6,2970196009,BODYWORX FITNESS,CINCINNATI,OH,THE MERCHANTS BANK & TRUST CO.,IN,5-Sep-07,2007,2,2.0,2,0,1,1,Y,N,30-Nov-07,"$100,599.00 ",$0.00 ,1
b6d6cc0def0,3243555001,M & M SPECIALTIES LLC,ELYRIA,OH,U.S. BANK NATIONAL ASSOCIATION,OH,17-Oct-08,2009,4,2.0,0,4,0,1,Y,N,30-Nov-08,"$10,000.00 ",$0.00 ,1
47a3a998fe0,1966265002,"CAPOZZI CASEWORKS, LLC",CHAGRIN FALLS,OH,CITIZENS BANK NATL ASSOC,RI,11-Aug-06,2006,1,1.0,0,1,0,1,Y,N,31-Oct-06,"$119,062.00 ",$0.00 ,1
954b0fc3ee9,8157284003,DOWNS MACHINERY SALES INC,TOLEDO,OH,CITIZENS BANK NATL ASSOC,RI,22-Nov-04,2005,1,1.0,0,1,1,1,Y,N,31-Jan-05,"$19,845.00 ",$0.00 ,1
36034e294d1,8779284008,EXPRESS TIRE & AUTO,TROY,OH,FIFTH THIRD BANK,OH,11-Apr-05,2005,45,1.0,0,45,1,2,0,N,30-Apr-05,"$1,100,000.00 ",$0.00 ,1
13cf45ae29f,1423585008,"3D Manufacturing, Inc.",COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,22-Aug-05,2005,4,2.0,6,6,0,1,N,N,30-Sep-05,"$80,000.00 ",$0.00 ,0
c8167f9b448,8072053009,"EXPERIENCES UNIQUE CHILD CARE,",BEAVERCREEK,OH,THE HUNTINGTON NATIONAL BANK,OH,10-Feb-95,1995,12,1.0,0,0,1,0,,N,30-Apr-95,"$227,000.00 ",$0.00 ,1
239df5c3036,1950334009,F & T LAND COMPANY,HUBBARD,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,1-Apr-98,1998,3,2.0,0,0,1,0,N,Y,31-Jan-99,"$76,000.00 ",$0.00 ,1
19fc00411b9,2841315005,Shanel's Design Group LLC,PATASKALA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,3-Dec-07,2008,7,1.0,0,7,0,2,Y,N,31-Dec-07,"$82,731.00 ",$0.00 ,0
a1c381be686,8866053000,"F.M. SYSTEMS, INC.",MEDINA,OH,"FIRSTMERIT BANK, N.A.",OH,7-Dec-95,1996,10,1.0,0,0,1,0,N,Y,31-Jan-96,"$75,000.00 ",$0.00 ,1
10204815bbf,1512045001,"VOYALE MINORITY ENTERPRISE, L.",CLEVELAND,OH,THE HUNTINGTON NATIONAL BANK,OH,24-Oct-05,2006,18,2.0,10,18,0,1,Y,N,30-Nov-05,"$420,000.00 ",$0.00 ,1
ec8c025e578,9106783009,HIGH TECH METAL PRODUCTS CO.,LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,19-Mar-96,1996,4,1.0,0,0,1,0,N,Y,30-Apr-96,"$16,000.00 ",$0.00 ,1
d2c755c5c39,3489674006,"TIM'S CYCLE, INC.",BEREA,OH,CITIZENS BANK,OH,23-Dec-99,2000,2,1.0,0,0,1,1,N,N,31-Jan-00,"$189,000.00 ",$0.00 ,1
b81048fffbe,4073293004,VIDEO HUT,TALLMADGE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,2-May-90,1990,6,1.0,0,0,1,0,N,N,25-Jun-90,"$90,346.00 ",$0.00 ,1
6176207a709,4291573003,U.S. DIAMOND&GOLD JEWELERS INC,CENTERVILLE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,30-Oct-90,1991,26,1.0,0,0,1,0,N,N,31-Jan-91,"$350,000.00 ",$0.00 ,1
6866cf05e4d,6559874007,LEISGANG GARDEN CENTER,CINCINNATI,OH,CAPITAL ONE NATL ASSOC,VA,5-Aug-03,2003,22,1.0,3,22,1,1,0,N,31-Oct-03,"$50,000.00 ",$0.00 ,0
ac3fdba85be,8562473009,"LAMPLIGHT INDUSTRIES, INC.",LORAIN,OH,THE LORAIN NATIONAL BANK,OH,2-Aug-95,1995,8,1.0,0,0,1,0,N,Y,31-Oct-95,"$100,000.00 ",$0.00 ,1
3cfa04789c8,8441803005,TROY TOWNE CLEANERS,TROY,OH,FIFTH THIRD BANK,OH,20-Jun-95,1995,6,1.0,0,0,1,0,N,Y,31-Oct-95,"$22,500.00 ",$0.00 ,1
23fab86a2e8,1808455005,"Liquid Resources of Ohio, LLC",Medina,OH,KEYBANK NATIONAL ASSOCIATION,OH,9-May-06,2006,15,1.0,15,15,0,1,Y,N,31-Jul-06,"$295,000.00 ",$0.00 ,1
0994041a0dd,1211725000,KEVIN BENEDICT DBA KEVIN BENED,CLEVELAND,OH,CITIZENS BANK NATL ASSOC,RI,1-Mar-05,2005,1,2.0,0,1,1,1,N,N,31-Mar-05,"$150,000.00 ",$0.00 ,1
7293132e54d,4831634006,PAUL L HUBBARD DBA CHURCH'S FR,TOLEDO,OH,LUCAS CNTY IMPROVEMENT CORP,OH,17-Aug-01,2001,1,2.0,25,0,17150,1,N,N,16-Jan-02,"$316,000.00 ",$0.00 ,1
93d65e2c075,4352585003,"BCF Enterprises, LLC.",Kirtland,OH,THE HUNTINGTON NATIONAL BANK,OH,5-Nov-10,2011,0,1.0,0,0,0,1,Y,N,1-Dec-10,"$34,517.00 ",$0.00 ,1
4628cea8977,3040295006,Bender Underground Constructio,Kirtland,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,9-Apr-08,2008,4,2.0,2,4,0,2,Y,N,30-Apr-08,"$120,916.00 ",$0.00 ,1
9b1af5ed95f,2798554004,FUNKS ANTIQUE AUTO PARTS,CARLISLE,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,22-Feb-99,1999,12,1.0,7,12,1,0,0,N,31-Mar-99,"$346,200.00 ",$0.00 ,1
8d9ceecfbfa,9885403009,"AIR-CRAFT HEATING & COOLING, I",PATASKALA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,9-Jan-97,1997,2,1.0,0,0,1,0,0,N,31-Dec-97,"$50,000.00 ",$0.00 ,1
3751e62f6bc,1825523001,PRUITT & GRACE DEVELOPMENT CRP,LORAIN,OH,THE LORAIN NATIONAL BANK,OH,22-Feb-84,1984,6,1.0,0,0,0,0,N,N,6-Mar-84,"$90,000.00 ",$0.00 ,0
81121a753a4,2388335001,American Imprinting Production,COLUMBUS,OH,CALIFORNIA BANK & TRUST,CA,11-Apr-07,2007,25,1.0,5,25,0,1,N,N,31-Aug-07,"$100,000.00 ",$0.00 ,0
9374d719aa7,1681644009,KICKPLATE CO.,COLUMBUS,OH,"WESBANCO BANK, INC.",OH,14-Nov-97,1998,10,1.0,0,0,1,0,0,N,30-Nov-97,"$360,000.00 ",$0.00 ,1
b78ca44400f,1967995000,"Delux Trucking, Inc.",Dayton,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,14-Aug-06,2006,3,2.0,1,3,0,1,Y,N,30-Apr-07,"$16,076.00 ",$0.00 ,1
68836529bff,5232425001,"Cash Advance Tax Service, LLC",COLUMBUS,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,24-May-12,2012,3,2.0,6,3,0,1,Y,N,1-Jul-12,"$137,500.00 ",$0.00 ,1
e74cfab8b31,1378265006,"Harbaugh Mechanical, Inc.",SEVILLE,OH,"FIRSTMERIT BANK, N.A.",OH,19-Jul-05,2005,9,1.0,0,9,0,2,Y,N,31-Aug-05,"$945,500.00 ",$0.00 ,1
bce496e3407,1778505005,SOUTHWEST DIESEL SERVICE INC.,COLUMBUS,OH,CAPITAL ONE NATL ASSOC,VA,21-Apr-06,2006,5,1.0,1,5,0,1,N,N,31-May-06,"$50,000.00 ",$0.00 ,0
7eadb080ce8,3532073003,BEAUMONT BROS STONEWARE INC,CROOKSVILLE,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,19-Sep-89,1989,10,2.0,0,0,1,0,N,N,31-Jan-90,"$200,000.00 ",$0.00 ,1
687bfae3709,1593614000,ALL NEW OIL CHANGERS,PARMA,OH,"FIRSTMERIT BANK, N.A.",OH,30-Sep-97,1997,1,2.0,0,0,1,0,N,N,28-Feb-99,"$148,000.00 ",$0.00 ,1
ffcd0066d5d,1659434009,CAYCE CHEMICAL INC.,CINCINNATI,OH,"PNC BANK, NATIONAL ASSOCIATION",KY,3-Nov-97,1998,4,1.0,0,0,1,0,Y,N,31-Dec-97,"$56,385.00 ",$0.00 ,1
c033eb8b9d0,1234345007,"BROSKI, INC. NO. 3-106",MENTOR,OH,CITIZENS BANK NATL ASSOC,RI,17-Mar-05,2005,11,1.0,0,11,1,1,Y,N,30-Apr-05,"$119,499.00 ",$0.00 ,1
f20b4ebc81f,4039104007,JOHN ROBERT'S HAIR STD&SPA INC,MAYFIELD HEIGHTS,OH,U.S. BANK NATIONAL ASSOCIATION,OH,1-Nov-00,2001,92,1.0,0,0,1,1,N,N,31-Dec-00,"$115,000.00 ",$0.00 ,1
782abd72e31,3474114010,AFC INTERIORS AND CISCO,AKRON,OH,GE CAP. SMALL BUS. FINAN CORP,TX,15-Dec-99,2000,80,1.0,80,80,1,1,0,N,31-Dec-99,"$685,000.00 ",$0.00 ,1
de9d93577cc,1871394007,"WORLD CLASS PLASTICS, INC.",RUSSELLS POINT,OH,OHIO STATEWIDE DEVEL CORP,OH,27-Feb-98,1998,47,1.0,15,32,1,0,N,N,16-Sep-98,"$412,000.00 ",$0.00 ,1
cc57397cb19,1249385000,Key Laser Technologies LLC,HINCKLEY,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,29-Mar-05,2005,2,1.0,1,2,1,2,N,N,30-Apr-05,"$113,400.00 ",$0.00 ,1
d3907f0a246,1544855002,"Michael Anthony Printing, LLC",Columbus,OH,"BUSINESS LOAN CENTER, LLC",FL,17-Nov-05,2006,8,1.0,0,8,0,1,N,N,31-Dec-05,"$25,000.00 ",$0.00 ,0
0fff7ea075f,8728023004,"BUCKEYE PAPER COMPANY, INC.",CANTON,OH,"FIRSTMERIT BANK, N.A.",OH,21-Oct-95,1996,23,1.0,0,0,1,0,N,Y,31-Jan-96,"$100,000.00 ",$0.00 ,1
dd6cf796ce6,1338725008,"R and K Convenience Store, LLC",CRESTLINE,OH,"FIRSTMERIT BANK, N.A.",OH,15-Jun-05,2005,0,2.0,0,0,1,2,T,N,31-Jul-05,"$16,671.00 ",$0.00 ,0
c10e1a04255,3501894006,SERVISTEEL CORPORATION,LORAIN,OH,UPS CAPITAL BUSINESS CREDIT,CT,29-Dec-99,2000,42,1.0,0,0,1,1,N,N,31-Dec-99,"$450,000.00 ",$0.00 ,1
dca754a7424,2289974003,O & O MANUFACTURING INC,FRANKLIN,OH,GE CAP. SMALL BUS. FINAN CORP,TX,28-Aug-98,1998,70,1.0,3,0,1,0,0,N,31-Oct-98,"$1,515,000.00 ",$0.00 ,1
5a34ccd5d65,8328083001,"VORTEX ENTERPRISES, INC.",DEFIANCE,OH,KEYBANK NATIONAL ASSOCIATION,OH,10-May-95,1995,15,1.0,0,0,1,0,Y,N,31-Jul-95,"$650,000.00 ",$0.00 ,0
79e4e95c305,1170375005,DAVID S CLOUGH DBA NORTH COAST,NORTH RIDGEVILLE,OH,CITIZENS BANK NATL ASSOC,RI,26-Jan-05,2005,2,1.0,0,2,1,1,Y,N,28-Feb-05,"$22,996.00 ",$0.00 ,0
d81d20d67c4,3833104010,"YOUNG EUN ASSOCIATES,INC.",COLUMBUS,OH,U.S. BANK NATIONAL ASSOCIATION,OH,11-Jul-00,2000,10,1.0,8,10,1,1,0,N,30-Sep-00,"$170,000.00 ",$0.00 ,1
1e2e16a0fdc,6917524008,TERRY E. WOOLENSNIDER,FOREST,OH,1ST CIT. NATL BK OF UPPER SAN,OH,14-Nov-03,2004,2,1.0,0,0,1,2,0,Y,31-Jan-04,"$44,500.00 ",$0.00 ,0
5dadf988508,9348643005,MADISON SHARPENING & GRINDING,MADISON,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,18-Jun-96,1996,2,1.0,0,0,1,0,N,Y,31-Oct-96,"$65,000.00 ",$0.00 ,1
5cea959e8be,2050575006,"D & C ANGUS COMPANY, INC.",MIDDLEFIELD,OH,U.S. BANK NATIONAL ASSOCIATION,OH,29-Sep-06,2006,6,1.0,0,6,0,1,Y,N,31-Jan-07,"$110,767.00 ",$0.00 ,1
e32b14d88ac,5420704003,HUNTER'S DEPOT LLC,DRESDEN,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,24-May-02,2002,4,1.0,0,4,1,1,0,N,30-Jun-02,"$20,000.00 ",$0.00 ,1
f003699b90d,1500305010,"Calypso Distribution Services,",Columbus,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,17-Oct-05,2006,80,2.0,25,80,0,1,N,N,30-Nov-05,"$150,000.00 ",$0.00 ,1
cdb8e7144bb,5565273010,LASALLE FURNITURE,PARMA HEIGHTS,OH,NATL BK & TR CO,OH,4-Mar-93,1993,5,2.0,0,0,1,0,N,N,30-Apr-93,"$180,000.00 ",$0.00 ,1
35a3f773bc4,9989703010,FEE CORP CORP.,CANAL WINCHESTER,OH,THE HUNTINGTON NATIONAL BANK,OH,26-Feb-97,1997,125,1.0,0,0,1,0,0,N,30-Apr-97,"$1,000,000.00 ",$0.00 ,1
c4b47fd3ddc,7255314009,"DATA/ANALYSIS TECHNOLOGIES,INC",PLAIN CITY,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,11-Mar-04,2004,11,1.0,0,11,1,2,N,N,31-Mar-04,"$100,900.00 ",$0.00 ,1
350c1f71143,1649865001,"Mark Welage Golf, LLC",Cincinnati,OH,THE HUNTINGTON NATIONAL BANK,OH,7-Feb-06,2006,1,2.0,0,0,0,1,Y,N,30-Jun-09,"$25,000.00 ",$0.00 ,1
4a00bf3ec84,1868454000,"WHOLE WORLD, INC.",COLUMBUS,OH,THE HUNTINGTON NATIONAL BANK,OH,26-Feb-98,1998,22,1.0,0,0,1,0,N,Y,31-Jul-98,"$79,000.00 ",$0.00 ,1
50847dfbd60,8979413008,"QUICK TECH BUSINESS FORMS, INC",SPRINGBORO,OH,CERTIFIED DEVEL CORP - WARREN,OH,2-Feb-96,1996,29,1.0,5,24,1,0,N,N,14-Aug-96,"$338,000.00 ",$0.00 ,1
d31ea41ec2d,1554915000,"JCWB, INC.",CENTERVILLE,OH,"PNC BANK, NATIONAL ASSOCIATION",OH,28-Nov-05,2006,3,1.0,2,3,0,1,N,N,28-Feb-06,"$30,000.00 ",$0.00 ,1
047131d9bc9,2180675010,"Pathrite, LLC",Loveland,OH,THE HUNTINGTON NATIONAL BANK,OH,18-Dec-06,2007,0,1.0,0,0,0,2,Y,N,31-Dec-06,"$44,277.00 ",$0.00 ,1
e89caa0d8aa,9387163006,EXQUISITE HAND AND NAILS,GARFIELD HEIGHTS,OH,INDEPENDENCE BANK,OH,5-Jul-96,1996,1,1.0,0,0,1,0,N,N,30-Sep-96,"$14,620.00 ",$0.00 ,1
543d874c2de,3634095002,WRAP N SHIP INC,TOLEDO,OH,THE HUNTINGTON NATIONAL BANK,OH,16-Sep-09,2009,8,1.0,3,8,0,1,N,N,1-Oct-09,"$35,000.00 ",$0.00 ,1
e2e4901ec41,1825623007,COLUMBUS SAILING CENTER/MARSHA,WESTERVILLE,OH,COMMUNITY CAP. DEVEL CORP,OH,22-Feb-84,1984,8,1.0,0,0,0,0,N,N,5-Dec-84,"$69,000.00 ",$0.00 ,1
37a3de8f154,9569863005,STEAK ESCAPE,ASHTABULA,OH,"READYCAP LENDING, LLC",CA,24-Sep-96,1996,30,2.0,0,0,77875,0,0,N,28-Feb-97,"$127,000.00 ",$0.00 ,1
856bd2f768a,1524835010,Tor Petroleum,HAMILTON,OH,U.S. BANK NATIONAL ASSOCIATION,OH,2-Nov-05,2006,3,1.0,0,3,0,1,Y,N,30-Nov-05,"$116,706.00 ",$0.00 ,1
6ba8aaac859,7557484009,"NOVEX PRODUCTS, INC.",ELYRIA,OH,THE HUNTINGTON NATIONAL BANK,OH,25-Jun-04,2004,8,1.0,0,8,1,1,Y,N,30-Sep-04,"$224,750.00 ",$0.00 ,1
75cf9f471f8,2450315008,JAIME MILLER DBA JC CUSTOM TRI,LOUISVILLE,OH,CITIZENS BANK NATL ASSOC,RI,11-May-07,2007,1,1.0,0,1,0,2,Y,N,31-May-07,"$10,600.00 ",$0.00 ,0
279a21883aa,2047345006,"ALLEN GRAPHICS, INC.",SOLON,OH,"FIRSTMERIT BANK, N.A.",OH,29-Sep-06,2006,0,1.0,0,0,0,2,Y,N,31-Jan-07,"$45,000.00 ",$0.00 ,1
7e4b5284035,1421345002,M And M General Contractors In,MENTOR,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,19-Aug-05,2005,1,1.0,0,1,0,1,Y,N,30-Sep-05,"$94,944.00 ",$0.00 ,0
3db91070b64,9126843000,WILLIAM GRAYSTONE WINERY,COLUMBUS,OH,KEYBANK NATIONAL ASSOCIATION,OH,26-Mar-96,1996,16,1.0,0,0,1,0,N,Y,30-Apr-96,"$90,000.00 ",$0.00 ,1
8567925a9d8,9977063000,"KOIVISTO CNSTRCTRS&ERCTRS, INC",ANDOVER,OH,CORTLAND SAVINGS & BK. CO.,OH,20-Feb-97,1997,3,1.0,0,0,1,0,N,Y,31-Mar-97,"$41,000.00 ",$0.00 ,1
9e7147398ca,3988085007,"Clear Creek Marketing, Ltd.",Lewis Center,OH,THE HUNTINGTON NATIONAL BANK,OH,24-Mar-10,2010,2,1.0,0,0,0,1,N,N,1-Apr-10,"$130,000.00 ",$0.00 ,1
752ec7db83f,7590683005,"OLYMPIC KITCHENS, INC.",COLUMBUS,OH,COMMUNITY CAP. DEVEL CORP,OH,19-Sep-94,1994,26,1.0,4,22,1,0,N,N,10-Apr-96,"$131,000.00 ",$0.00 ,1
fb4ddcacdc6,2161425010,Devinder Singh dba Doom Constr,WEST CHESTER,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,6-Dec-06,2007,3,2.0,0,3,0,2,Y,N,28-Feb-07,"$25,000.00 ",$0.00 ,0
59100df8daa,9272933001,DAYSPRING'S MINI MART,LIMA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,14-May-96,1996,3,2.0,0,0,1,0,N,Y,14-Jan-97,"$13,900.00 ",$0.00 ,1
c9ede0cffd8,2408975003,"The Turner Group, LLC",Cincinnati,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,23-Apr-07,2007,0,2.0,3,5,0,1,Y,N,31-May-07,"$48,111.00 ",$0.00 ,0
53a3a29e111,5794054003,R & L QUALITY PROCESSING L L C,MARIETTA,OH,JPMORGAN CHASE BANK NATL ASSOC,IL,21-Oct-02,2003,6,1.0,0,6,1,2,0,N,31-Mar-03,"$90,800.00 ",$0.00 ,1
c21215e1d65,2773196010,CRANDALL FORD INC,PERRY,OH,CASCADE CAPITAL CORPORATION,OH,26-Apr-07,2007,28,1.0,3,28,1,2,0,N,14-May-08,"$1,096,000.00 ",$0.00 ,1
fa73a06a687,3588545004,Restoration Professionals Inc.,Boardman,OH,THE HUNTINGTON NATIONAL BANK,OH,21-Aug-09,2009,0,1.0,0,0,0,1,N,N,30-Sep-09,"$15,200.00 ",$0.00 ,1
469eb3739a6,6961884008,SPARKS&SHORELINE TRNSPRTN INC,CLEVELAND,OH,UNITED MIDWEST SAVINGS BANK,OH,25-Nov-03,2004,20,1.0,0,0,1,1,N,N,31-Mar-04,"$305,000.00 ",$0.00 ,1
c341142020a,9091793008,BURKHOLDER BARN PAINTING & PRE,PANDORA,OH,CIT. NATL BK OF BLUFFTON,OH,14-Mar-96,1996,1,2.0,0,0,1,0,N,Y,30-Apr-96,"$26,000.00 ",$0.00 ,1
27a1d5780ec,2451295006,"AA SCAN, INC.",AKRON,OH,CITIZENS BANK NATL ASSOC,RI,11-May-07,2007,12,1.0,0,12,0,1,Y,N,31-May-07,"$54,814.00 ",$0.00 ,1
30034f6a14b,3153525010,Kraftsport Unlimited LLC,Cincinnati,OH,THE HUNTINGTON NATIONAL BANK,OH,11-Jul-08,2008,0,2.0,0,0,0,1,Y,N,31-Jul-08,"$38,983.00 ",$0.00 ,1
81373ace4ea,5957713010,"HALL MACHINE COMPANY, INC.",CARROLLTON,OH,THE HUNTINGTON NATIONAL BANK,OH,22-Sep-93,1993,25,1.0,0,0,1,0,N,N,31-Oct-93,"$695,000.00 ",$0.00 ,1
30c05c0e2d9,6437514006,THE FETCH COMPANY LLC,POWELL,OH,"PNC BANK, NATIONAL ASSOCIATION",DE,24-Jun-03,2003,3,1.0,1,3,1,1,Y,N,31-Jul-03,"$50,000.00 ",$0.00 ,0
09cc38341bf,8270423003,"FIVE STAR MARKETING, INC.",MENTOR,OH,CITIZENS BANK,OH,18-Apr-95,1995,1,1.0,0,0,1,0,N,Y,31-Jul-95,"$75,000.00 ",$0.00 ,1
870e03f804d,3578325004,STALLINGS BICYCLES LLC,WEST CHESTER,OH,U.S. BANK NATIONAL ASSOCIATION,OH,17-Aug-09,2009,13,2.0,0,13,0,1,Y,N,1-May-10,"$25,000.00 ",$0.00 ,1
